M_ID,AMPHOE_T,AMPHOE_E,CH_ID,,,,
5011,อ. พร้าว,Phrao,50,,,,
1416,อ. บ้านแพรก,Ban Phraek,14,,,,
4301,อ. เมืองหนองคาย,Mueang Nong Khai,43,,,,
3401,อ. เมืองอุบลราชธานี,Mueang Ubon Ratchathani,34,,,,
6401,อ. เมืองสุโขทัย,Mueang Sukhothai,64,,,,
7301,อ. เมืองนครปฐม,mueang Nakhon Pathom,73,,,,
9105,อ. ละงู,La-ngu,91,,,,
5601,อ. เมืองพะเยา,Mueang Phayao,56,,,,
7402,อ. กระทุ่มแบน,Krathum Baen,74,,,,
2201,อ. เมืองจันทบุรี,Mueang Chanthaburi,22,,,,
5005,อ. ดอยสะเก็ด,Doi Saket,50,,,,
1415,อ. มหาราช,Maha Rat,14,,,,
8205,อ. ตะกั่วป่า,Takua Pa,82,,,,
1414,อ. อุทัย,Uthai,14,,,,
9007,อ. ระโนด,Ranot,90,,,,
5101,อ. เมืองลำพูน,Mueang Lamphun,51,,,,
1017,เขต ห้วยขวาง,Huai Khwang,10,,,,
6105,อ. หนองขาหย่าง,Nong Khayang,61,,,,
8401,อ. เมืองสุราษฎร์ธานี,Mueang Surat Thani,84,,,,
9409,อ. ยะหริ่ง,Yaring,94,,,,
1405,อ. บางบาล,Bang Ban,14,,,,
1406,อ. บางปะอิน,Bang Pa-in,14,,,,
5022,อ. แม่วาง,Mae Wang,50,,,,
5019,อ. สารภี,Saraphi,50,,,,
1012,เขต ยานนาวา,Yannawa,10,,,,
5401,อ. เมืองแพร่,Mueang Phrae,54,,,,
1504,อ. โพธิ์ทอง,Pho Thong,15,,,,
6703,อ. หล่มสัก,Lom Sak,67,,,,
5801,อ. เมืองแม่ฮ่องสอน,Mueang Mae Hong Son,58,,,,
7004,อ. ดำเนินสะดวก,Damnoen Saduak,70,,,,
1403,อ. นครหลวง,Nakhon Luang,14,,,,
1024,เขต ราษฎร์บูรณะ,Rat Burana,10,,,,
3101,อ. เมืองบุรีรัมย์,Mueang Buri Ram,31,,,,
1503,อ. ป่าโมก,Pa Mok,15,,,,
5014,อ. สันทราย,San Sai,50,,,,
5007,อ. แม่ริม,Mae Rim,50,,,,
5404,อ. สูงเม่น,Sung Men,54,,,,
6604,อ. ตะพานหิน,Taphan Hin,66,,,,
1041,เขต หลักสี่,Lak Si,10,,,,
1038,เขต ลาดพร้าว,Lat Phrao,10,,,,
9001,อ. เมืองสงขลา,Muaeng Songkhla,90,,,,
5501,อ. เมืองน่าน,Mueang Nan,55,,,,
6605,อ. บางมูลนาก,Bang Mun Nak,66,,,,
9405,อ. มายอ,Mayo,94,,,,
6407,อ. สวรรคโลก,Sawankhalok,64,,,,
9408,อ. ไม้แก่น,Mai Kaen,94,,,,
1905,อ. หนองแซง,Nong Saeng,19,,,,
7306,อ. สามพราน,Sam Phran,73,,,,
9506,อ. รามัน,Raman,95,,,,
2008,อ. เกาะสีชัง,Ko Sichang,20,,,,
1506,อ. วิเศษชัยชาญ,Wiset Chai Chan,15,,,,
7202,อ. เดิมบางนางบวช,Doem Bang Nang Buat,72,,,,
7201,อ. เมืองสุพรรณบุรี,Mueang Saphan Buri,72,,,,
2402,อ. บางคล้า,Bang Khla,24,,,,
9501,อ. เมืองยะลา,Mueang Yala,95,,,,
1203,อ. บางใหญ่,Bang Yai,12,,,,
2405,อ. บ้านโพธิ์,Ban Pho,24,,,,
6101,อ. เมืองอุทัยธานี,Mueang Uthai Thani,61,,,,
9201,อ. เมืองตรัง,Mueang Trang,92,,,,
3018,อ. สูงเนิน,Sung Noen,30,,,,
3415,อ. วารินชำราบ,Warin Chamrap,34,,,,
6406,อ. ศรีสำโรง,Si Samrong,64,,,,
9410,อ. ยะรัง,Yarang,94,,,,
6701,อ. เมืองเพชรบูรณ์,Mueang Phetchabun,67,,,,
5408,อ. หนองม่วงไข่,Nong Muang Khai,54,,,,
1606,อ. บ้านหมี่,Ban Mi,16,,,,
7008,อ. ปากท่อ,Pak Tho,70,,,,
7106,อ. ท่าม่วง,Tha Muang,71,,,,
7607,อ. บ้านแหลม,Ban Laem,76,,,,
2005,อ. พานทอง,Phan Thong,20,,,,
8019,อ. จุฬาภรณ์,Chulabhorn,80,,,,
1903,อ. หนองแค,Nong Khae,19,,,,
9002,อ. สทิงพระ,Sathing Phra,90,,,,
2501,อ. เมืองปราจีนบุรี,Mueang Prachin Buri,25,,,,
5024,อ. ดอยหล่อ,Doi Lo,50,,,,
6301,อ. เมืองตาก,Mueang Tak,63,,,,
1409,อ. ภาชี,Phachi,14,,,,
7001,อ. เมืองราชบุรี,Mueang Ratchaburi,70,,,,
1705,อ. ท่าช้าง,Tha Chang,17,,,,
4506,อ. พนมไพร,Phanom Phrai,45,,,,
9015,อ. สิงหนคร,Singhanakhon,90,,,,
3419,อ. พิบูลมังสาหาร,Phibun Mangsahan,34,,,,
8417,อ. พุนพิน,Phunphin,84,,,,
1026,เขต ดินแดง,Din Daeng,10,,,,
3001,อ. เมืองนครราชสีมา,Mueang Nakhon Ratchasima,30,,,,
4805,อ. ธาตุพนม,That Phanom,48,,,,
4801,อ. เมืองนครพนม,Mueang Nakhon Phanom,48,,,,
5006,อ. แม่แตง,Mae Taeng,50,,,,
1105,อ. พระสมุทรเจดีย์,Phra Samut Chedi,11,,,,
8009,อ. ทุ่งสง,Thung Song,80,,,,
1704,อ. พรหมบุรี,Phrom Buri,17,,,,
1014,เขต พญาไท,Phaya Thai,10,,,,
1608,อ. สระโบสถ์,Sa Bot,16,,,,
5012,อ. สันป่าตอง,San Pa Tong,50,,,,
4901,อ. เมืองมุกดาหาร,Mueang Mukdahan,49,,,,
2706,อ. อรัญประเทศ,Aranyaprathet,27,,,,
1040,เขต บางแค,Bang Khae,10,,,,
9407,อ. สายบุรี,Sai Buri,94,,,,
9404,อ. ปะนาเระ,Panare,94,,,,
7605,อ. ท่ายาง,Tha Yang,76,,,,
1605,อ. ท่าวุ้ง,Tha Wung,16,,,,
4101,อ. เมืองอุดรธานี,Mueang Udon Thani,41,,,,
8006,อ. เชียรใหญ่,Chian Yai,80,,,,
5205,อ. งาว,Ngao,52,,,,
4812,อ. วังยาง,Wang Yang,48,,,,
1046,เขต คลองสามวา,Khlong Sam Wa,10,,,,
1907,อ. ดอนพุด,Don Phut,19,,,,
4104,อ. กุมภวาปี,Kumphawapi,41,,,,
2404,อ. บางปะกง,Bang Pakong,24,,,,
3305,อ. ขุขันธ์,Khukhan,33,,,,
3014,อ. ปักธงชัย,Pak Thong Chai,30,,,,
6601,อ. เมืองพิจิตร,Mueang Phichit,66,,,,
9402,อ. โคกโพธิ์,Khok Pho,94,,,,
5201,อ. เมืองลำปาง,Mueang Lampang,52,,,,
2411,อ. คลองเขื่อน,Khlong Khuean,24,,,,
5603,อ. เชียงคำ,Chiang Kham,56,,,,
9003,อ. จะนะ,Chana,90,,,,
5707,อ. แม่จัน,Mae Chan,57,,,,
6104,อ. หนองฉาง,Nong Chang,61,,,,
3501,อ. เมืองยโสธร,Mueang Yasothon,35,,,,
4906,อ. ว่านใหญ่,Wan Yai,49,,,,
9208,อ. นาโยง,Na Yong,92,,,,
9301,อ. เมืองพัทลุง,Mueang Phatthalung,93,,,,
7009,อ. วัดเพลง,Wat Phleng,70,,,,
4501,อ. เมืองร้อยเอ็ด,Mueang Roi Et,45,,,,
1906,อ. บ้านหมอ,Ban Mo,19,,,,
9014,อ. บางกล่ำ,Bang Klam,90,,,,
4516,อ. ศรีสมเด็จ,Si Somdet,45,,,,
8016,อ. หัวไทร,Hua Sai,80,,,,
6001,อ. เมืองนครสวรรค์,Mueang Nakhon Sawan,60,,,,
1011,เขต ลาดกระบัง,Lat Krabang,10,,,,
1913,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,19,,,,
1505,อ. แสวงหา,Sawaeng Ha,15,,,,
3110,อ. ลำปลายมาศ,Lam Plai Mat,31,,,,
7602,อ. เขาย้อย,Khao Yoi,76,,,,
7403,อ. บ้านแพ้ว,Ban Phaeo,74,,,,
7302,อ. กำแพงแสน,Kamphaeng Saen,73,,,,
2508,อ. ศรีมหาโพธิ,Si Maha Phot,25,,,,
7304,อ. ดอนตูม,Don Tum,73,,,,
6102,อ. ทัพทัน,Thap Than,61,,,,
3310,อ. อุทุมพรพิสัย,Uthumphon Phisai,33,,,,
2302,อ. คลองใหญ่,Khlong Yai,23,,,,
9102,อ. ควนโดน,Khuan Don,91,,,,
6404,อ. กงไกรลาศ,Kong Krailat,64,,,,
7204,อ. บางปลาม้า,Bang Pla Ma,72,,,,
2602,อ. ปากพลี,Pak Phli,26,,,,
1049,เขต ทุ่งครุ,Thung Khu,10,,,,
1909,อ. พระพุทธบาท,Phra Phutthabat,19,,,,
1006,เขต บางกะปิ,Bang Kapi,10,,,,
8012,อ. ปากพนัง,Pak Phanang,80,,,,
9206,อ. ห้วยยอด,Huai Yot,92,,,,
1706,อ. อินทร์บุรี,In Buri,17,,,,
9601,อ. เมืองนราธิวาส,Mueang Narathiwat,96,,,,
1042,เขต สายไหม,Sai Mai,10,,,,
5506,อ. ท่าวังผา,Tha Wang Pha,55,,,,
9306,อ. ปากพะยูน,Pak Phayun,93,,,,
6006,อ. เก้าเลี้ยว,Kao Liao,60,,,,
8406,อ. ไชยา,Chaiya,84,,,,
1032,เขต ประเวศ,Prawet,10,,,,
6704,อ. หล่มเก่า,Lom Kao,67,,,,
4517,อ. จังหาร,Changhan,45,,,,
4201,อ. เมืองเลย,Mueang Loei,42,,,,
1603,อ. โคกสำโรง,Khok Samrong,16,,,,
4604,อ. ร่องคำ,Rong Kham,46,,,,
3010,อ. โนนสูง,Non Sung,30,,,,
1029,เขต บางซื่อ,Bang Su,10,,,,
5108,อ. เวียงหนองล่อง,Wiang Nong Long,51,,,,
3116,อ. ห้วยราช,Huai Rat,31,,,,
2507,อ. ประจันตคาม,Prachantakham,25,,,,
1009,เขต พระโขนง,Phra Khanong,10,,,,
1102,อ. บางบ่อ,Bang Bo,11,,,,
4410,อ. นาดูน,Na Dun,44,,,,
7307,อ. พุทธมณฑล,Phutthamonthon,73,,,,
1413,อ. บางซ้าย,Bang Sai,14,,,,
1507,อ. สามโก้,Samko,15,,,,
4510,อ. เสลภูมิ,Selaphum,45,,,,
2105,อ. บ้านค่าย,Ban Khai,21,,,,
3201,อ. เมืองสุรินทร์,Mueang Surin,32,,,,
4016,อ. ภูเวียง,Phu Wiang,40,,,,
3311,อ. บึงบูรพ์,Bueng Bun,33,,,,
7207,อ. สองพี่น้อง,Song Phi Nong,72,,,,
5514,อ. ภูเพียง,Phu Phiang,55,,,,
8504,อ. กระบุรี,Kra Buri,85,,,,
1805,อ. สรรคบุรี,Sankhaburi,18,,,,
2603,อ. บ้านนา,Ban Na,26,,,,
5021,อ. ไชยปราการ,Chai Prakan,50,,,,
5406,อ. สอง,Song,54,,,,
5301,อ. เมืองอุตรดิตถ์,Mueang Uttaradit,53,,,,
4511,อ. สุวรรณภูมิ,Suwannaphum,45,,,,
1305,อ. ลาดหลุมแก้ว,Lat Lum Kaeo,13,,,,
9004,อ. นาทวี,Na Thawi,90,,,,
7701,อ. เมืองประจวบคีรีขันธ์,Mueang Prachuap Khiri Khan,77,,,,
4806,อ. เรณูนคร,Renu Nakhon,48,,,,
1303,อ. ธัญบุรี,Thanyaburi,13,,,,
1703,อ. ค่ายบางระจัน,Khai Bang Rachan,17,,,,
4809,อ. นาหว้า,Na Wa,48,,,,
4124,อ. กู่แก้ว,Ku Kaeo,41,,,,
7006,อ. บางแพ,Bang Phae,70,,,,
1702,อ. บางระจัน,Bang Rachan,17,,,,
4020,อ. ภูผาม่าน,Phu Phaman,40,,,,
4606,อ. เขาวง,Khao Wong,46,,,,
9106,อ. ทุ่งหว้า,Thung Wa,91,,,,
3613,อ. คอนสาร,Khon San,36,,,,
3404,อ. เขื่องใน,Khueang Nai,34,,,,
5607,อ. แม่ใจ,Mae Chai,56,,,,
4907,อ. หนองสูง,Nong Sung,49,,,,
1604,อ. ชัยบาดาล,Chai Badan,16,,,,
3301,อ. เมืองศรีสะเกษ,Mueang Si Sa Ket,33,,,,
5203,อ. เกาะคา,Ko kha,52,,,,
3212,อ. สำโรงทาบ,Samrong Thap,32,,,,
1003,เขต หนองจอก,Nong Chok,10,,,,
4518,อ. เชียงขวัญ,Chiang Khwan,45,,,,
1047,เขต บางนา,Bang Na,10,,,,
5609,อ. ภูกามยาว,Phu Kamyao,56,,,,
3321,อ. โพธิ์ศรีสุวรรณ,Pho Si Suwan,33,,,,
4505,อ. ธวัชบุรี,Thawat Buri,45,,,,
1023,เขต หนองแขม,Nong Khaem,10,,,,
1411,อ. วังน้อย,Wang Noi,14,,,,
3016,อ. ห้วยแถลง,Huai Thalaeng,30,,,,
8002,อ. พรหมคีรี,Phrom Khiri,80,,,,
1804,อ. สรรพยา,Sapphaya,18,,,,
5605,อ. ดอกคำใต้,Dok Khamtai,56,,,,
5608,อ. ภูซาง,Phu Sang,56,,,,
9303,อ. เขาชัยสน,Khao Chaison,93,,,,
6002,อ. โกรกพระ,Krok Phra,60,,,,
5402,อ. ร้องกวาง,Mueang Phrae,54,,,,
9311,อ. ศรีนครินทร์,Srinagarindra,93,,,,
4408,อ. พยัคฆภูมิพิสัย,Phayakkhaphum Phisai,44,,,,
9209,อ. รัษฎา,Ratsada,92,,,,
4905,อ. คำชะอี,Khamcha-i,49,,,,
3422,อ. สำโรง,Samrong,34,,,,
4701,อ. เมืองสกลนคร,Mueang Sakon Nakhon,47,,,,
3104,อ. นางรอง,Nang Rong,31,,,,
5505,อ. ปัว,Pua,55,,,,
1045,เขต วังทองหลาง,Wang Thong Lang,10,,,,
4520,อ. ทุ่งเขาหลวง,Thung Khao Luang,45,,,,
6201,อ. เมืองกำแพงเพชร,Mueang Kamphaeng Phet,62,,,,
7305,อ. บางเลน,Bang Len,73,,,,
7109,อ. พนมทวน,Phanom Thuan,71,,,,
4111,อ. บ้านดุง,Ban Dung,41,,,,
4012,อ. พล,Phon,40,,,,
1005,เขต บางเขน,Bang Khen,10,,,,
9603,อ. บาเจาะ,Tak Bai,96,,,,
6306,อ. แม่สอด,Mae Sot,63,,,,
9604,อ. ยี่งอ,Yi-ngo,96,,,,
3411,อ. ตระการพืชผล,Trakan Phuet Phon,34,,,,
8023,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,80,,,,
4404,อ. กันทรวิชัย,Kantharawichai,44,,,,
6609,อ. สากเหล็ก,Sak Lek,66,,,,
8502,อ. ละอุ่น,La-un,85,,,,
9610,อ. สุไหงโก-ลก,Su-ngai Kolok,96,,,,
4514,อ. อาจสามารถ,At Samat,45,,,,
9505,อ. ยะหา,Yaha,95,,,,
9602,อ. ตากใบ,Tak Bai,96,,,,
1410,อ. ลาดบัวหลวง,Lat Bua Luang,14,,,,
3504,อ. คำเขื่อนแก้ว,Kham Khuean Kaeo,35,,,,
9203,อ. ย่านตาขาว,Yan Ta Khao,92,,,,
1904,อ. วิหารแดง,Wihan Daeng,19,,,,
4803,อ. ท่าอุเทน,Tha Uthen,48,,,,
3204,อ. จอมพระ,Chom Phra,32,,,,
1048,เขต ทวีวัฒนา,Thawi Watthana,10,,,,
5803,อ. ปาย,Pai,58,,,,
4609,อ. สหัสขันธ์,Sahatsakhan,46,,,,
6007,อ. ตาคลี,Takhli,60,,,,
3105,อ. หนองกี่,Nong Ki,31,,,,
4005,อ. ชุมแพ,Chum Phae,40,,,,
3602,อ. บ้านเขว้า,Ban Khwao,36,,,,
9305,อ. ควนขนุน,Khuan Khanun,93,,,,
8402,อ. กาญจนดิษฐ์,Kanchanadit,84,,,,
3309,อ. ราษีไศล,Rasi Salai,33,,,,
8004,อ. ฉวาง,Chawang,80,,,,
2301,อ. เมืองตราด,Mueang Trat,23,,,,
4605,อ. กุฉินารายณ์,Kuchinarai,46,,,,
4707,อ. นิคมน้ำอูน,Nikhom Nam un,47,,,,
3308,อ. ขุนหาญ,Khun Han,33,,,,
4504,อ. จตุรพักตรพิมาน,Chaturaphak Phiman,45,,,,
2305,อ. แหลมงอบ,Laem Ngop,23,,,,
7209,อ. อู่ทอง,U Thong,72,,,,
6505,อ. บางกระทุ่ม,Bang Krathum,65,,,,
4608,อ. ห้วยเม็ก,Huai Mek,46,,,,
4403,อ. โกสุมพิสัย,Kosum Phisai,44,,,,
4405,อ. เชียงยืน,Chiang Yuen,44,,,,
4411,อ. ยางสีสุราช,Yang Sisurat,44,,,,
3208,อ. สนม,Sanom,32,,,,
2002,อ. บ้านบึง,Ban Bueng,20,,,,
4708,อ. วานรนิวาส,Wanon Niwat,47,,,,
8302,อ. กะทู้,Kathu,83,,,,
4011,อ. เปือยน้อย,Pueai Noi,40,,,,
3306,อ. ไพรบึง,Phrai Bueng,33,,,,
4508,อ. โพธิ์ชัย,Pho Chai,45,,,,
5705,อ. พาน,Phan,57,,,,
4515,อ. เมยวดี,Moei Wadi,45,,,,
4612,อ. หนองกุงศรี,Nong Kung Si,46,,,,
9411,อ. กะพ้อ,Kapho,94,,,,
4018,อ. ชนบท,Chonnabot,40,,,,
4706,อ. วาริชภูมิ,Waritchaphum,47,,,,
2509,อ. ศรีมโหสถ,Si Mahosot,25,,,,
5210,อ. แม่ทะ,Mae Tha,52,,,,
9412,อ. แม่ลาน,Mae Lan,94,,,,
9608,อ. แว้ง,Waeng,96,,,,
3303,อ. กันทรารมย์,Kanthararom,33,,,,
4025,อ. โนนศิลา,Non Sila,40,,,,
