M_ID,AMPHOE_T,AMPHOE_E,CH_ID,,,,
4402,อ. แกดำ,Kae Dam,44,,,,
4307,อ. ศรีเชียงใหม่,Si Chiang Mai,43,,,,
3307,อ. ปรางค์กู่,Prang Ku,33,,,,
3121,อ. บ้านด่าน,Ban Dan,31,,,,
2604,อ. องครักษ์,Ongkharak,26,,,,
4413,อ. ชื่นชม,Chuen Chom,44,,,,
3031,อ. สีดา,Sida,30,,,,
9302,อ. กงหรา,Kong Ra,93,,,,
1043,เขต คันนายาว,Khanna Yao,10,,,,
4603,อ. กมลาไสย,Kamalasai,46,,,,
3114,อ. หนองหงส์,Nong Hong,31,,,,
6606,อ. โพทะเล,Pho Thale,66,,,,
3005,อ. บ้านเหลื่อม,Ban Lueam,30,,,,
4007,อ. น้ำพอง,Nam Phong,40,,,,
5509,อ. เชียงกลาง,Chiang Klang,55,,,,
5507,อ. เวียงสา,Wiang Sa,55,,,,
3312,อ. ห้วยทับทัน,Huai Thap Than,33,,,,
3119,อ. บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot,31,,,,
4610,อ. คำม่วง,Kham Muang,46,,,,
3601,อ. เมืองชัยภูมิ,Mueang Chaiyaphum,36,,,,
2506,อ. บ้านสร้าง,Ban Sang,25,,,,
1908,อ. หนองโดน,Nong Don,19,,,,
5704,อ. เทิง,Thoeng,57,,,,
4512,อ. เมืองสรวง,Mueang Suang,45,,,,
3112,อ. ปะคำ,Pakham,31,,,,
4317,อ. โพธิ์ตาก,Pho Tak,43,,,,
6011,อ. ลาดยาว,Lat Yao,60,,,,
5302,อ. ตรอน,Tron,53,,,,
3002,อ. ครบุรี,Khon Buri,30,,,,
3107,อ. ประโคนชัย,Prakhon Chai,31,,,,
3304,อ. กันทรลักษ์,Kantharalak,33,,,,
1044,เขต สะพานสูง,Saphan Sung,10,,,,
3414,อ. ม่วงสามสิบ,Muang Sam Sip,34,,,,
4903,อ. ดอนตาล,Don Tan,49,,,,
3103,อ. กระสัง,Krasang,31,,,,
5102,อ. แม่ทา,Mae Tha,51,,,,
3322,อ. ศิลาลาด,Sila Lat,33,,,,
9607,อ. ศรีสาคร,Si Sakhon,96,,,,
6206,อ. พรานกระต่าย,Phran Kratai,62,,,,
2502,อ. กบินทร์บุรี,Kabin Buri,25,,,,
6408,อ. ศรีนคร,Si Nakhon,64,,,,
4117,อ. บ้านผือ,Ban Phue,41,,,,
3431,อ. เหล่าเสือโก้ก,Lao Suea Kok,34,,,,
2209,อ. นายายอาม,Na Yai Am,22,,,,
6405,อ. ศรีสัชนาลัย,Si Satchanalai,64,,,,
3314,อ. ศรีรัตนะ,Si Rattana,33,,,,
7702,อ. กุยบุรี,Kui Buri,77,,,,
3120,อ. โนนดินแดง,Non Din Daeng,31,,,,
5403,อ. ลอง,Long,54,,,,
3706,อ. หัวตะพาน,Hua Taphan,37,,,,
4013,อ. แวงใหญ่,Waeng Yai,40,,,,
4015,อ. หนองสองห้อง,Nong Song Hong,40,,,,
6403,อ. คีรีมาศ,Khiri Mat,64,,,,
5103,อ. บ้านโฮ่ง,Ban Hong,51,,,,
7208,อ. สามชุก,Sam Chuk,72,,,,
5405,อ. เด่นชัย,Den Chai,54,,,,
4008,อ. อุบลรัตน์,Ubolratana,40,,,,
3013,อ. ประทาย,Prathai,30,,,,
5706,อ. ป่าแดด,Pa Daet,57,,,,
4019,อ. เขาสวนกวาง,Khao Suan Kwang,40,,,,
1610,อ. ลำสนธิ,Lam Sonthi,16,,,,
3904,อ. ศรีบุญเรือง,Si Bun Rueang,39,,,,
1806,อ. หันคา,Hankha,18,,,,
4205,อ. ด่านซ้าย,Dan Sai,42,,,,
8013,อ. ร่อนพิบูลย์,Ron Phibun,80,,,,
6611,อ. ดงเจริญ,Dong Charoen,66,,,,
3029,อ. ลำทะเมนชัย,Lamtaman Chai,30,,,,
4802,อ. ปลาปาก,Pla Pak,48,,,,
4712,อ. สว่างแดนดิน,Sawang Daen Din,47,,,,
3111,อ. สตึก,Satuek,31,,,,
3207,อ. รัตนบุรี,Rattanaburi,32,,,,
3109,อ. พุทไธสง,Phutthaisong,31,,,,
9013,อ. ควนเนียง,Khuan Niang,90,,,,
3008,อ. ด่านขุนทด,Dan Khun Thot,30,,,,
4316,อ. รัตนวาปี,Rattanawapi,43,,,,
9606,อ. รือเสาะ,Rueso,96,,,,
3216,อ. เขวาสินรินทร์,Khwao Sinarin,32,,,,
4503,อ. ปทุมรัตต์,Pathum Rat,45,,,,
3901,อ. เมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu,39,,,,
5010,อ. แม่อาย,Mae Ai,50,,,,
8412,อ. บ้านนาสาร,Ban Na San,84,,,,
9310,อ. ป่าพยอม,Pa Phayom,93,,,,
4804,อ. บ้านแพง,Ban Phaeng,48,,,,
2403,อ. บางน้ำเปรี้ยว,Bang Nam Priao,24,,,,
4715,อ. โคกศรีสุพรรณ,Khok Si Suphan,47,,,,
4006,อ. สีชมพู,Si Chomphu,40,,,,
3011,อ. ขามสะแกแสง,Kham Sakaesaeng,30,,,,
4004,อ. หนองเรือ,Nong Ruea,40,,,,
4513,อ. โพนทราย,Phon Sai,45,,,,
7707,อ. หัวหิน,Hua Hin,77,,,,
3123,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,31,,,,
3315,อ. น้ำเกลี้ยง,Nam Kliang,33,,,,
3009,อ. โนนไทย,Non Thai,30,,,,
6205,อ. คลองขลุง,Khlong Khlung,62,,,,
7706,อ. ปราณบุรี,Pran Buri,77,,,,
3020,อ. สีคิ้ว,Si Khio,30,,,,
1030,เขต จตุจักร,Chatuchak,10,,,,
5711,อ. เวียงป่าเป้า,Wiang Pa Pao,57,,,,
5212,อ. ห้างฉัตร,Hang Chat,52,,,,
3209,อ. ศีขรภูมิ,Sikhoraphum,32,,,,
5207,อ. วังเหนือ,Wang Nuea,52,,,,
3502,อ. ทรายมูล,Sai Mun,35,,,,
8207,อ. ทับปุด,Thap Put,82,,,,
2407,อ. ราชสาส์น,Ratchasan,24,,,,
3019,อ. ขามทะเลสอ,Kham Thale So,30,,,,
3319,อ. เบญจลักษ์,Benchalak,33,,,,
4001,อ. เมืองขอนแก่น,Mueang Khon Kaen,40,,,,
4704,อ. พรรณานิคม,Phanna Nikhom,47,,,,
3117,อ. โนนสุวรรณ,Non Din Daeng,31,,,,
3202,อ. ชุมพลบุรี,Chumphon Buri,32,,,,
9009,อ. รัตภูมิ,Rattaphum,90,,,,
4902,อ. นิคมคำสร้อย,Nikhom Kham Soi,49,,,,
8411,อ. ท่าฉาง,Tha Chang,84,,,,
6005,อ. บรรพตพิสัย,Banphot Phisai,60,,,,
8602,อ. ท่าแซะ,Tha Sae,86,,,,
9508,อ. กรงปีนัง,Krong Pinang,95,,,,
3421,อ. โพธิ์ไทร,Pho Sai,34,,,,
1050,เขต บางบอน,Bang Bon,10,,,,
3030,อ. บัวลาย,Bua Lai,30,,,,
4714,อ. เต่างอย,Tao Ngoi,47,,,,
3211,อ. ลำดวน,Lamduan,32,,,,
4502,อ. เกษตรวิสัย,Kaset Wisai,45,,,,
3503,อ. กุดชุม,Kut Chum,35,,,,
4109,อ. ศรีธาตุ,Si That,41,,,,
3705,อ. เสนางคนิคม,Senangkhanikhom,37,,,,
3407,อ. เดชอุดม,Det Udom,34,,,,
3317,อ. ภูสิงห์,Phu Sing,33,,,,
8003,อ. ลานสกา,Lan Saka,80,,,,
8410,อ. พนม,Phanom,84,,,,
6106,อ. บ้านไร่,Ban Rai,61,,,,
3113,อ. นาโพธิ์,Na Pho,31,,,,
7704,อ. บางสะพาน,Bang Saphan,77,,,,
3424,อ. ดอนมดแดง,Don Mot Daeng,34,,,,
3903,อ. โนนสัง,Non Sang,39,,,,
9104,อ. ท่าแพ,Tha Phae,91,,,,
3203,อ. ท่าตูม,Tha Tum,32,,,,
5307,อ. พิชัย,Phichai,53,,,,
4118,อ. น้ำโสม,Nam Som,41,,,,
4014,อ. แวงน้อย,Waeng Noi,40,,,,
4617,อ. ดอนจาน,Don Chan,46,,,,
3505,อ. ป่าติ้ว,Pa Tio,35,,,,
7101,อ. เมืองกาญจนบุรี,Mueang Kanchanaburi,71,,,,
7705,อ. บางสะพานน้อย,Bang Saphan Noi,77,,,,
3608,อ. หนองบัวระเหว,Nong Bua Rawe,36,,,,
3902,อ. นากลาง,Na Klang,39,,,,
6507,อ. วัดโบสถ์,Wat Bot,65,,,,
9605,อ. ระแงะ,Ra-ngae,96,,,,
3509,อ. ไทยเจริญ,Thai Charoen,35,,,,
1036,เขต ดอนเมือง,Don Mueang,10,,,,
3805,อ. ปากคาด,Pak Khat,38,,,,
3313,อ. โนนคูณ,Non Khun,33,,,,
8407,อ. ท่าชนะ,Tha Chana,84,,,,
3607,อ. บำเหน็จณรงค์,Bamnet Narong,36,,,,
4203,อ. เชียงคาน,Chiang Khan,42,,,,
3024,อ. โนนแดง,Non Daeng,30,,,,
4209,อ. วังสะพุง,Wang Saphung,42,,,,
3420,อ. ตาลสุม,Tan Sum,34,,,,
4602,อ. นามน,Na Mon,46,,,,
4002,อ. บ้านฝาง,Ban Fang,40,,,,
6012,อ. ตากฟ้า,Tak Fa,60,,,,
9016,อ. คลองหอยโข่ง,Khlong Hoi Khong,90,,,,
4103,อ. หนองวัวซอ,Nong Wua So,41,,,,
6210,อ. บึงสามัคคี,Bueng Samakkhi,62,,,,
4614,อ. ห้วยผึ้ง,Huai Phueng,46,,,,
3704,อ. พนา,Phana,37,,,,
8409,อ. บ้านตาขุน,Ban Ta Khun,84,,,,
3405,อ. เขมราฐ,Khemarat,34,,,,
3507,อ. ค้อวัง,Kho Wang,35,,,,
1611,อ. หนองม่วง,Nong Muang,16,,,,
3004,อ. คง,Khong,30,,,,
3426,อ. ทุ่งศรีอุดม,Thung Si Udom,34,,,,
3612,อ. แก้งคร้อ,Kaeng Khro,36,,,,
8005,อ. พิปูน,Phipun,80,,,,
8022,อ. ช้างกลาง,Chang Klang,80,,,,
3108,อ. บ้านกรวด,Ban Kruat,31,,,,
3703,อ. ปทุมราชวงศา,Pathum Ratchawongsa,37,,,,
1607,อ. ท่าหลวง,Tha Luang,16,,,,
3006,อ. จักราช,Chakkarat,30,,,,
1304,อ. หนองเสือ,Nong Suea,13,,,,
4125,อ. ประจักษ์ศิลปาคม,Prachaksinlapakhom,41,,,,
4211,อ. ภูหลวง,Phu Luang,42,,,,
2707,อ. เขาฉกรรจ์,Khao Chakan,27,,,,
4023,อ. หนองนาคำ,Nong Na Kham,40,,,,
3801,อ. บึงกาฬ,Bueng Kan,38,,,,
4105,อ. โนนสะอาด,Non Sa-at,41,,,,
3206,อ. กาบเชิง,Kap Choeng,32,,,,
2205,อ. มะขาม,Makham,22,,,,
2102,อ. บ้านฉาง,Ban Chang,21,,,,
6409,อ. ทุ่งเสลี่ยม,Thung Saliam,64,,,,
5503,อ. บ้านหลวง,Ban Luang,55,,,,
6502,อ. นครไทย,Nakhon Thai,65,,,,
4314,อ. สระใคร,Sakhrai,43,,,,
8014,อ. สิชล,Sichon,80,,,,
5208,อ. เถิน,Thoen,52,,,,
4808,อ. ศรีสงคราม,Si Songkhram,48,,,,
9010,อ. สะเดา,Sadao,90,,,,
6103,อ. สว่างอารมณ์,Sawang Arom,61,,,,
3017,อ. ชุมพวง,Chum Phuang,30,,,,
5702,อ. เวียงชัย,Wiang Chai,57,,,,
9504,อ. ธารโต,Than To,95,,,,
3015,อ. พิมาย,Phimai,30,,,,
4509,อ. หนองพอก,Nong Phok,45,,,,
4315,อ. เฝ้าไร่,Fao Rai,43,,,,
5009,อ. ฝาง,Fang,50,,,,
2010,อ. บ่อทอง,Bo Thong,20,,,,
3604,อ. เกษตรสมบูรณ์,Kaset Sombun,36,,,,
4717,อ. โพนนาแก้ว,Phon Na Kaeo,47,,,,
9304,อ. ตะโหมด,Tamot,93,,,,
6612,อ. วชิรบารมี,Wachirabarami,66,,,,
3028,อ. พระทองคำ,Phra Thong Kham,30,,,,
4705,อ. พังโคน,Phanh khon,47,,,,
3611,อ. บ้านแท่น,Ban Thaen,36,,,,
6708,อ. บึงสามพัน,Bueng Sam Phan,67,,,,
6008,อ. ท่าตะโก,Tha Tako,60,,,,
7206,อ. ดอนเจดีย์,Don Chedi,72,,,,
8605,อ. ละแม,Lamae,86,,,,
4611,อ. ท่าคันโท,Tha Khantho,46,,,,
5712,อ. พญาเม็งราย,Phaya Mengrai,57,,,,
6207,อ. ลานกระบือ,Lan Krabue,62,,,,
3106,อ. ละหานทราย,Lahan Sai,31,,,,
3412,อ. กุดข้าวปุ้น,Kut Khaopun,34,,,,
2104,อ. วังจันทร์,Wang Chan,21,,,,
4711,อ. อากาศอำนวย,Akat Amnuai,47,,,,
3115,อ. พลับพลาชัย,Phlapphla Chai,31,,,,
3122,อ. แคนดง,Khaen Dong,31,,,,
4412,อ. กุดรัง,Kut Rang,44,,,,
3616,อ. ซับใหญ่,Sap Yai,36,,,,
3213,อ. บัวเชด,Buachet,32,,,,
4305,อ. โพนพิสัย,Phon Phisai,43,,,,
6303,อ. สามเงา,Sam Ngao,63,,,,
3430,อ. นาตาล,Na Tan,34,,,,
6603,อ. โพธิ์ประทับช้าง,Pho Prathap Chang,66,,,,
1807,อ. หนองมะโมง,Nong Mamong,18,,,,
4202,อ. นาด้วง,Na Duang,42,,,,
4810,อ. โพนสวรรค์,Phon Sawan,48,,,,
6711,อ. เขาค้อ,Khao kho,67,,,,
3403,อ. โขงเจียม,Khong Chiam,34,,,,
8416,อ. พระแสง,Phrasaeng,84,,,,
4026,อ. เวียงเก่า,Wiang Kao,40,,,,
1602,อ. พัฒนานิคม,Phatthana Nikhom,16,,,,
6211,อ. โกสัมพีนคร,Kosamphi Nakhon,62,,,,
6504,อ. บางระกำ,Bang Rakam,65,,,,
6508,อ. วังทอง,Wang Thong,65,,,,
3023,อ. แก้งสนามนาง,Kaeng Sanam Nang,30,,,,
3102,อ. คูเมือง,Khu Mueang,31,,,,
6610,อ. บึงนาราง,Bueng Na Rang,66,,,,
6607,อ. สามง่าม,Sam Ngam,66,,,,
4024,อ. บ้านแฮด,Ban Haet,40,,,,
2708,อ. โคกสูง,Khok Sung,27,,,,
3606,อ. จัตุรัส,Chatturat,36,,,,
6706,อ. ศรีเทพ,Si Thep,67,,,,
3610,อ. ภูเขียว,Phu Khiao,36,,,,
3806,อ. บึงโขงหลง,Bueng Khong Long,38,,,,
3804,อ. เซกา,Seka,38,,,,
5602,อ. จุน,Chun,56,,,,
1021,เขต บางขุนเทียน,Bang Khun Thian,10,,,,
6204,อ. ขาณุวรลักษบุรี,Khanu Woralaksaburi,62,,,,
5206,อ. แจ้ห่ม,Chae Hom,52,,,,
2701,อ. เมืองสระแก้ว,Mueang Sa Kaeo,27,,,,
5708,อ. เชียงแสน,Chiang Saen,57,,,,
3215,อ. ศรีณรงค์,Si Narong,32,,,,
3214,อ. พนมดงรัก,Phanom Dong Rak,32,,,,
4119,อ. เพ็ญ,Phen,41,,,,
6302,อ. บ้านตาก,Ban Tak,63,,,,
2705,อ. วัฒนานคร,Watthana Nakhon,27,,,,
6710,อ. วังโป่ง,Wang Pong,67,,,,
4308,อ. สังคม,Sangkhom,43,,,,
4904,อ. ดงหลวง,Don Tan,49,,,,
3803,อ. โซ่พิสัย,So Phisai,38,,,,
4121,อ. หนองแสง,Nong Saeng,41,,,,
6707,อ. หนองไผ่,Nong Phai,67,,,,
5703,อ. เชียงของ,Chiang Khong,57,,,,
3508,อ. เลิงนกทา,Loeng Nok Tha,35,,,,
5020,อ. เวียงแหง,Wiang Haeng,50,,,,
4615,อ. สามชัย,Sam Chai,46,,,,
3432,อ. สว่างวีระวงศ์,Sawang Wirawong,34,,,,
3210,อ. สังขะ,Sangkha,32,,,,
9005,อ. เทพา,Thepha,90,,,,
9207,อ. วังวิเศษ,Wang Wiset,92,,,,
5002,อ. จอมทอง,Chom Thong,50,,,,
1912,อ. วังม่วง,Wang Muang,19,,,,
3615,อ. เนินสง่า,Noen Sa-nga,36,,,,
8415,อ. เวียงสระ,Wiang Sa,84,,,,
3408,อ. นาจะหลวย,Na Chaluai,34,,,,
2702,อ. คลองหาด,Khlong Hat,27,,,,
5107,อ. บ้านธิ,Ban Thi,51,,,,
5511,อ. สันติสุข,Santi Suk,55,,,,
9307,อ. ศรีบรรพต,Si Banphot,93,,,,
2108,อ. นิคมพัฒนา,Nikhom Phatthana,21,,,,
6705,อ. วิเชียรบุรี,Wichian Buri,67,,,,
3807,อ. ศรีวิไล,Si Wilai,38,,,,
8021,อ. นบพิตำ,Nopphitam,80,,,,
6602,อ. วังทรายพูน,Wang Sai Phun,66,,,,
4212,อ. ผาขาว,Pha Khao,42,,,,
2503,อ. นาดี,Na Di,25,,,,
4022,อ. โคกโพธิ์ไชย,Khok Pho Chai,40,,,,
5504,อ. นาน้อย,Na Noi,55,,,,
4713,อ. ส่องดาว,Song Dao,47,,,,
8018,อ. ถ้ำพรรณรา,Tham Phannara,80,,,,
7111,อ. ด่านมะขามเตี้ย,Dan Makham Tia,71,,,,
5502,อ. แม่จริม,Mae Charim,55,,,,
8204,อ. ตะกั่วทุ่ง,Takua Thung,82,,,,
3702,อ. ชานุมาน,Chanuman,37,,,,
4102,อ. กุดจับ,Kut Chap,41,,,,
4110,อ. วังสามหมอ,Wang Sam Mo,41,,,,
8010,อ. นาบอน,Na Bon,80,,,,
4716,อ. เจริญศิลป์,Charoen Sin,47,,,,
8414,อ. เคียนซา,Khian Sa,84,,,,
3027,อ. เมืองยาง,Mueang Yang,30,,,,
6309,อ. วังเจ้า,Wang Chao,63,,,,
9613,อ. เจาะไอร้อง,Cho-airong,96,,,,
9308,อ. ป่าบอน,Pa Bon,93,,,,
3429,อ. นาเยีย,Na Yia,34,,,,
3409,อ. น้ำยืน,Nam Yuen,34,,,,
8107,อ. ลำทับ,Lam Thap,81,,,,
6208,อ. ทรายทองวัฒนา,Sai Thong Watthana,62,,,,
5714,อ. ขุนตาล,Khun Tan,57,,,,
9609,อ. สุคิริน,Sukhirin,96,,,,
4214,อ. หนองหิน,Nong Hin,42,,,,
3026,อ. เทพารักษ์,Thepharak,30,,,,
6402,อ. บ้านด่านลานหอย,Ban Dan Lan Hoi,64,,,,
5016,อ. ฮอด,Hot,50,,,,
6308,อ. อุ้มผาง,Um Phang,63,,,,
4208,อ. ท่าลี่,Tha Li,42,,,,
2003,อ. หนองใหญ่,Nong Yai,20,,,,
3410,อ. บุณฑริก,Boontharik,34,,,,
2208,อ. แก่งหางแมว,Kaeng Hang Maeo,22,,,,
4710,อ. บ้านม่วง,Ban Muang,47,,,,
2303,อ. เขาสมิง,Khao Saming,23,,,,
5710,อ. แม่สรวย,Mae Suai,57,,,,
2409,อ. แปลงยาว,Pleang Yao,24,,,,
4017,อ. มัญจาคีรี,Mancha Khiri,40,,,,
6107,อ. ลานสัก,Lan Sak,61,,,,
6608,อ. ทับคล้อ,Tap Khlo,66,,,,
3433,อ. น้ำขุ่น,Nam Khun,34,,,,
4210,อ. ภูกระดึง,Phu Kradueng,42,,,,
8011,อ. ทุ่งใหญ่,Thung Yai,80,,,,
2210,อ. เขาคิชฌกูฏ,Khao Khitchakut,22,,,,
9006,อ. สะบ้าย้อย,Saba Yoi,90,,,,
7210,อ. หนองหญ้าไซ,Nong Ya Sai,72,,,,
6304,อ. แม่ระมาด,Mae Ramat,63,,,,
5713,อ. เวียงแก่น,Wiang Kaen,57,,,,
2106,อ. ปลวกแดง,Pluak Daeng,21,,,,
9503,อ. บันนังสตา,Bannang Sata,95,,,,
4123,อ. พิบูลย์รักษ์,Phibun Rak,41,,,,
6108,อ. ห้วยคต,Huai Khot,61,,,,
5209,อ. แม่พริก,Mae Phrik,52,,,,
1808,อ. เนินขาม,Noen Kham,18,,,,
4213,อ. เอราวัณ,Erawan,42,,,,
8208,อ. ท้ายเหมือง,Thai Mueang,82,,,,
2011,อ. เกาะจันทร์,Ko Chan,20,,,,
6509,อ. เนินมะปราง,Noen Maprang,65,,,,
5606,อ. ปง,Pong,56,,,,
6702,อ. ชนแดน,Chon Daen,67,,,,
4108,อ. ไชยวาน,Chai Wan,41,,,,
5718,อ. ดอยหลวง,Doi Luang,57,,,,
6202,อ. ไทรงาม,Sai Ngam,62,,,,
2207,อ. สอยดาว,Soi Dao,22,,,,
7608,อ. แก่งกระจาน,Kaeng Krachan,76,,,,
8017,อ. บางขัน,Bang Khan,80,,,,
5407,อ. วังชิ้น,Wang Chin,54,,,,
8203,อ. กะปง,Kapong,82,,,,
1609,อ. โคกเจริญ,Khok Charoen,16,,,,
2304,อ. บ่อไร่,Bo Rai,23,,,,
6015,อ. ชุมตาบง,Chum Ta Bong,60,,,,
4207,อ. ภูเรือ,Phu Ruea,42,,,,
9502,อ. เบตง,Betong,95,,,,
5717,อ. เวียงเชียงรุ้ง,Wiang Chiang Rung,57,,,,
7110,อ. เลาขวัญ,Lao Khwan,71,,,,
2204,อ. โป่งน้ำร้อน,Pong Nam Ron,22,,,,
8106,อ. ปลายพระยา,Plai Phraya,81,,,,
6009,อ. ไพศาลี,Phaisali,60,,,,
5510,อ. นาหมื่น,Na Muen,55,,,,
6307,อ. พบพระ,Phop Phra,63,,,,
7002,อ. จอมบึง,Chom Bueng,70,,,,
2107,อ. เขาชะเมา,Khao Chamao,21,,,,
2704,อ. วังน้ำเย็น,Wang Nam Yen,27,,,,
5804,อ. แม่สะเรียง,Mae Sariang,58,,,,
4122,อ. นายูง,Na Yung,41,,,,
9107,อ. มะนัง,Manang,91,,,,
5104,อ. ลี้,Li,51,,,,
3808,อ. บุ่งคล้า,Bung Khla,38,,,,
9103,อ. ควนกาหลง,Khuan Kalong,91,,,,
7603,อ. หนองหญ้าปล้อง,Nong Ya Plong,76,,,,
4811,อ. นาทม,Na Thom,48,,,,
4709,อ. คำตากล้า,Kham Ta Kla,47,,,,
4702,อ. กุสุมาลย์,Kusuman,47,,,,
7203,อ. ด่านช้าง,Dan Chang,72,,,,
7003,อ. สวนผึ้ง,Suan Phueng,70,,,,
5204,อ. เสริมงาม,Soem Ngam,52,,,,
6013,อ. แม่วงก์,Mae Wong,60,,,,
8104,อ. คลองท่อม,Khlong Thom,81,,,,
5211,อ. สบปราบ,Sop Prap,52,,,,
2703,อ. ตาพระยา,Ta Phraya,27,,,,
1911,อ. มวกเหล็ก,Muak Lek,19,,,,
5305,อ. ฟากท่า,Fak Tha,53,,,,
7113,อ. ห้วยกระเจา,Huai Krachao,71,,,,
3605,อ. หนองบัวแดง,Nong Bua Daeng,36,,,,
8418,อ. ชัยบุรี,Chai Buri,84,,,,
4204,อ. ปากชม,Pak Chom,42,,,,
5309,อ. ทองแสนขัน,Thong Saen Khan,53,,,,
3025,อ. วังน้ำเขียว,Wang Nam Khiao,30,,,,
6209,อ. ปางศิลาทอง,Pang Sila Thong,62,,,,
4718,อ. ภูพาน,Phu Phan,47,,,,
5806,อ. สบเมย,Sop Moei,58,,,,
6503,อ. ชาติตระการ,Chat Trakan,65,,,,
5715,อ. แม่ฟ้าหลวง,Mae Fa Luang,57,,,,
4206,อ. นาแห้ว,Na Haeo,42,,,,
7708,อ. สามร้อยยอด,Sam Roi Yot,77,,,,
7010,อ. บ้านคา,Ban Kha,70,,,,
7112,อ. หนองปรือ,Nong Prue,71,,,,
5805,อ. แม่ลาน้อย,Mae La Noi,58,,,,
3003,อ. เสิงสาง,Soeng Sang,30,,,,
9507,อ. กาบัง,Kabang,95,,,,
3614,อ. ภักดีชุมพล,Phakdi Chumphon,36,,,,
2709,อ. วังสมบูรณ์,Wang Sombun,27,,,,
5003,อ. แม่แจ่ม,Mae Chaem,50,,,,
7102,อ. ไทรโยค,Sai Yok,71,,,,
3021,อ. ปากช่อง,Pak Chong,30,,,,
3609,อ. เทพสถิต,Thep Sathit,36,,,,
8102,อ. เขาพนม,Khao Phanom,81,,,,
5508,อ. ทุ่งช้าง,Thung Chang,55,,,,
5306,อ. บ้านโคก,Ban Khok,53,,,,
8606,อ. พะโต๊ะ,Phato,86,,,,
5512,อ. บ่อเกลือ,Bo Kluea,55,,,,
2408,อ. สนามชัยเขต,Sanam Chai Khet,24,,,,
6709,อ. น้ำหนาว,Nam Nao,67,,,,
4703,อ. กุดบาก,Kut Bak,47,,,,
5202,อ. แม่เมาะ,Mae Mo,52,,,,
5105,อ. ทุ่งหัวช้าง,Thung Hua Chang,51,,,,
5213,อ. เมืองปาน,Mueang Pan,52,,,,
5604,อ. เชียงม่วน,Chiang Muan,56,,,,
7107,อ. ทองผาภูมิ,Thong Pha Phum,71,,,,
5802,อ. ขุนยวม,Khun Yuam,58,,,,
5008,อ. สะเมิง,Samoeng,50,,,,
5004,อ. เชียงดาว,Chiang Dao,50,,,,
5025,อ. กัลยาณิวัฒนา,Kanlayaniwatthana,50,,,,
5513,อ. สองแคว,Song Khwae,55,,,,
5304,อ. น้ำปาด,Nam Pat,53,,,,
6305,อ. ท่าสองยาง,Tha Song Yang,63,,,,
5515,อ. เฉลิมพระเกียรติ,Chaloem Phra Kiet,55,,,,
7104,อ. ศรีสวัสดิ์,Si Sawat,71,,,,
7103,อ. บ่อพลอย,Bo Phloi,71,,,,
5807,อ. ปางมะผ้า,Pang Mapha,58,,,,
8419,อ. วิภาวดี,Chai Buri,84,,,,
6203,อ. คลองลาน,Khlong Lan,62,,,,
5018,อ. อมก๋อย,Omkoi,50,,,,
6014,อ. แม่เปิน,Mae Pern,60,,,,
2410,อ. ท่าตะเกียบ,Tha Takiap,24,,,,
7108,อ. สังขละบุรี,Sangkhla Buri,71,,,,
